item,unix_timestamp,value,activity_label,location_label
BhRm_Motion_2,1563961242000,ON,TRA,TRA
BdRm_Motion_1,1563961248000,OFF,TRA,TRA
BdRm_Motion_2,1563961253000,OFF,TRA,TRA
BhRm_Motion_2,1563961266000,OFF,TRA,TRA
BhRm_Motion_2,1563961269000,ON,TRA,TRA
BdRm_Motion_2,1563961277000,ON,TRA,TRA
BdRm_Motion_1,1563961283000,ON,TRA,TRA
BhRm_Motion_2,1563961288000,OFF,activity_sleeping,bedroom_location_bed
BhRm_Motion_1,1563961289000,OFF,activity_sleeping,bedroom_location_bed
BdRm_Motion_1,1563961295000,OFF,activity_sleeping,bedroom_location_bed
BdRm_Motion_2,1563961297000,OFF,activity_sleeping,bedroom_location_bed
BdRm_Motion_2,1563961318000,ON,activity_sleeping,bedroom_location_bed
BdRm_Motion_1,1563961319000,ON,activity_sleeping,bedroom_location_bed
BdRm_Motion_1,1563961328000,OFF,activity_sleeping,bedroom_location_bed
BdRm_Motion_2,1563961329000,OFF,activity_sleeping,bedroom_location_bed
BdRm_Motion_2,1563961338000,ON,activity_sleeping,bedroom_location_bed
BdRm_Motion_1,1563961339000,ON,activity_sleeping,bedroom_location_bed
BdRm_Motion_1,1563961351000,OFF,activity_reading,bedroom_location_bed
BdRm_Motion_2,1563961355000,OFF,activity_reading,bedroom_location_bed
BdRm_Motion_1,1563961376000,ON,activity_reading,bedroom_location_bed
BdRm_Motion_2,1563961376000,ON,activity_reading,bedroom_location_bed
BdRm_Tch_2,1563961395000,ON,TRA,TRA
BdRm_Tch_2,1563961395000,OFF,TRA,TRA
BdRm_light,1563961395000,1.0,TRA,TRA
BdRm_Motion_1,1563961396000,OFF,TRA,TRA
Bedroom_blind,1563961396000,95.0,TRA,TRA
Bedroom_blind,1563961398000,86.0,TRA,TRA
BdRm_Motion_1,1563961399000,ON,TRA,TRA
Bedroom_blind,1563961400000,78.0,activity_dressing,bedroom_location_drawers
Bedroom_blind,1563961402000,69.0,activity_dressing,bedroom_location_drawers
Bedroom_blind,1563961404000,60.0,activity_dressing,bedroom_location_drawers
Bedroom_blind,1563961405000,56.0,activity_dressing,bedroom_location_drawers
Bedroom_blind,1563961407000,47.0,activity_dressing,bedroom_location_drawers
Bedroom_blind,1563961409000,38.0,activity_dressing,bedroom_location_drawers
BdRm_Motion_2,1563961410000,OFF,activity_dressing,bedroom_location_drawers
Bedroom_blind,1563961411000,30.0,activity_dressing,bedroom_location_drawers
Bedroom_blind,1563961413000,21.0,activity_dressing,bedroom_location_drawers
Bedroom_blind,1563961415000,12.0,activity_dressing,bedroom_location_drawers
Bedroom_blind,1563961416000,8.0,activity_dressing,bedroom_location_wardrobe
BdRm_Motion_2,1563961417000,ON,activity_dressing,bedroom_location_wardrobe
Bedroom_blind,1563961418000,0.0,activity_dressing,bedroom_location_wardrobe
BdRm_Motion_2,1563961427000,OFF,activity_dressing,bedroom_location_wardrobe
BdRm_Motion_1,1563961433000,OFF,activity_dressing,bedroom_location_wardrobe
BdRm_Motion_1,1563961436000,ON,activity_dressing,bedroom_location_wardrobe
BdRm_Motion_2,1563961450000,ON,TRA,TRA
BdRm_Motion_1,1563961462000,OFF,activity_brushing_hair,bedroom_location_mirror
BdRm_Motion_2,1563961462000,OFF,activity_brushing_hair,bedroom_location_mirror
BdRm_Motion_2,1563961487000,ON,TRA,TRA
BdRm_Motion_1,1563961488000,ON,TRA,TRA
DgRm_Motion_1,1563961493000,ON,TRA,TRA
DgRm_Motion_2,1563961496000,ON,TRA,TRA
Ktch_Motion_1,1563961498000,ON,TRA,TRA
Ktch_Motion_2,1563961498000,ON,TRA,TRA
BdRm_Motion_1,1563961501000,OFF,TRA,TRA
BdRm_Motion_2,1563961502000,OFF,TRA,TRA
DgRm_Motion_1,1563961506000,OFF,activity_reading,kitchen_location_table
Ktch_Motion_2,1563961507000,OFF,activity_reading,kitchen_location_table
Ktch_Motion_1,1563961530000,OFF,activity_reading,kitchen_location_table
DgRm_Motion_2,1563961530000,OFF,activity_reading,kitchen_location_table
DgRm_Motion_2,1563961542000,ON,activity_reading,kitchen_location_table
Ktch_Motion_1,1563961542000,ON,activity_reading,kitchen_location_table
Ktch_Motion_2,1563961552000,ON,TRA,TRA
Ktch_T2_Cupboard,1563961557000,OFF,activity_prepare_coffee,kitchen_location_worktop_corner
Ktch_T2_Cupboard,1563961561000,ON,activity_prepare_coffee,kitchen_location_worktop_corner
Ktch_Motion_2,1563961564000,OFF,activity_prepare_coffee,kitchen_location_worktop_corner
Ktch_Motion_2,1563961569000,ON,activity_prepare_coffee,kitchen_location_worktop_sink
Ktch_Motion_2,1563961586000,OFF,activity_prepare_coffee,kitchen_location_worktop_corner
DgRm_Motion_2,1563961587000,OFF,activity_prepare_coffee,kitchen_location_worktop_corner
DgRm_Motion_1,1563961590000,ON,activity_prepare_coffee,kitchen_location_worktop_stove
DgRm_Motion_2,1563961590000,ON,activity_prepare_coffee,kitchen_location_worktop_stove
Ktch_B1_Draw,1563961591000,OFF,activity_prepare_coffee,kitchen_location_worktop_stove
Ktch_B1_Draw,1563961593000,ON,activity_prepare_coffee,kitchen_location_worktop_stove
DgRm_Motion_1,1563961603000,OFF,activity_prepare_coffee,kitchen_location_worktop_corner
DgRm_Motion_2,1563961606000,OFF,activity_prepare_coffee,kitchen_location_worktop_corner
Ktch_Motion_1,1563961608000,OFF,activity_prepare_coffee,kitchen_location_worktop_corner
Ktch_Motion_1,1563961611000,ON,activity_prepare_coffee,kitchen_location_worktop_corner
Ktch_T1_Cupboard,1563961659000,OFF,activity_prepare_coffee,kitchen_location_worktop_corner
Ktch_T1_Cupboard,1563961662000,ON,activity_prepare_coffee,kitchen_location_worktop_corner
Ktch_T4_Cupboard,1563961664000,OFF,activity_prepare_coffee,kitchen_location_worktop_corner
Ktch_T4_Cupboard,1563961669000,ON,activity_prepare_cake,kitchen_location_worktop_corner
Ktch_Motion_1,1563961683000,OFF,activity_prepare_cake,kitchen_location_worktop_corner
DgRm_Motion_2,1563961684000,ON,activity_prepare_cake,kitchen_location_worktop_stove
DgRm_Motion_1,1563961685000,ON,activity_prepare_cake,kitchen_location_worktop_stove
Ktch_B1_Draw,1563961685000,OFF,activity_prepare_cake,kitchen_location_worktop_stove
Ktch_B1_Draw,1563961688000,ON,activity_prepare_cake,kitchen_location_worktop_stove
Ktch_Motion_1,1563961689000,ON,activity_prepare_cake,kitchen_location_worktop_corner
DgRm_Motion_1,1563961698000,OFF,activity_prepare_cake,kitchen_location_worktop_corner
DgRm_Motion_2,1563961698000,OFF,activity_prepare_cake,kitchen_location_worktop_corner
